constructorId,constructorRef,name,nationality,url,hexColor
1,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren,#FF9800
2,bmw_sauber,BMW Sauber,German,http://en.wikipedia.org/wiki/BMW_Sauber,#339CCE
3,williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,#00A0DD
4,renault,Renault,French,http://en.wikipedia.org/wiki/Renault_in_Formula_One,#FBBB01
5,toro_rosso,Toro Rosso,Italian,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,#01102F
6,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari,#EE151F
7,toyota,Toyota,Japanese,http://en.wikipedia.org/wiki/Toyota_Racing,#D83E4B
8,super_aguri,Super Aguri,Japanese,http://en.wikipedia.org/wiki/Super_Aguri_F1,#E30007
9,red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing,#000B8D
10,force_india,Force India,Indian,http://en.wikipedia.org/wiki/Racing_Point_Force_India,#F596C8
11,honda,Honda,Japanese,http://en.wikipedia.org/wiki/Honda_Racing_F1,#CD0000
12,spyker,Spyker,Dutch,http://en.wikipedia.org/wiki/Spyker_F1,#FD5C00
13,mf1,MF1,Russian,http://en.wikipedia.org/wiki/Midland_F1_Racing,#FF0000
14,spyker_mf1,Spyker MF1,Dutch,http://en.wikipedia.org/wiki/Midland_F1_Racing,#FF0000
15,sauber,Sauber,Swiss,http://en.wikipedia.org/wiki/Sauber,#006FFF
16,bar,BAR,British,http://en.wikipedia.org/wiki/British_American_Racing,#94A583
17,jordan,Jordan,Irish,http://en.wikipedia.org/wiki/Jordan_Grand_Prix,#FFFF00
18,minardi,Minardi,Italian,http://en.wikipedia.org/wiki/Minardi,#F7BD00
19,jaguar,Jaguar,British,http://en.wikipedia.org/wiki/Jaguar_Racing,#02571B
20,prost,Prost,French,http://en.wikipedia.org/wiki/Prost_Grand_Prix,#051772
21,arrows,Arrows,British,http://en.wikipedia.org/wiki/Arrows_Grand_Prix_International,#E6E3BA
22,benetton,Benetton,Italian,http://en.wikipedia.org/wiki/Benetton_Formula,#01A000
23,brawn,Brawn,British,http://en.wikipedia.org/wiki/Brawn_GP,#96DE00
24,stewart,Stewart,British,http://en.wikipedia.org/wiki/Stewart_Grand_Prix,#294A84
25,tyrrell,Tyrrell,British,http://en.wikipedia.org/wiki/Tyrrell_Racing,#254A74
26,lola,Lola,British,http://en.wikipedia.org/wiki/MasterCard_Lola,#FBB22E
27,ligier,Ligier,French,http://en.wikipedia.org/wiki/Ligier,#193364
28,forti,Forti,Italian,http://en.wikipedia.org/wiki/Forti,#0BA20B
